id,generic_name,scientific_name,english_name,sex,file_url,length,license,location,bird_type,also,smp,seen,regnr,file,source
821562,Zosterops,lateralis,Silvereye,uncertain,https://xeno-canto.org/821562/download,57,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_",call,[],48000,no,,https://xeno-canto.org/821562/download,Xeno-Canto
821561,Zosterops,lateralis,Silvereye,uncertain,https://xeno-canto.org/821561/download,55,//creativecommons.org/licenses/by-nc-sa/4.0/,"Taiko_Camp,_Chatham_Island_","call,_flight_call",[],48000,no,,https://xeno-canto.org/821561/download,Xeno-Canto
562518,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/562518/download,16,//creativecommons.org/licenses/by-nc-sa/4.0/,"Ngunguru,_Whangarei_District,_Northland",call,[],48000,yes,,https://xeno-canto.org/562518/download,Xeno-Canto
537896,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/537896/download,29,//creativecommons.org/licenses/by-nc-sa/4.0/,"Mangere_Island,_Chatham_Islands",call,[],44100,yes,,https://xeno-canto.org/537896/download,Xeno-Canto
526619,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/526619/download,19,//creativecommons.org/licenses/by-nc-sa/4.0/,"Mangakino,_Taupo_District,_Waikato",call,[],48000,yes,,https://xeno-canto.org/526619/download,Xeno-Canto
405672,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/405672/download,63,//creativecommons.org/licenses/by-nc-sa/4.0/,"Kaiteriteri,_Tasman_District,_Tasman",call,"['Rhipidura fuliginosa', 'Passer domesticus']",48000,no,,https://xeno-canto.org/405672/download,Xeno-Canto
405671,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/405671/download,117,//creativecommons.org/licenses/by-nc-sa/4.0/,"Kaiteriteri,_Tasman_District,_Tasman",call,"['Rhipidura fuliginosa', 'Passer domesticus']",48000,no,,https://xeno-canto.org/405671/download,Xeno-Canto
198890,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/198890/download,54,//creativecommons.org/licenses/by-nc-sa/4.0/,"Abel_Tasman_National_Park,_Tasman_District,_Tasman",call,[],44100,yes,,https://xeno-canto.org/198890/download,Xeno-Canto
925465,Zosterops,lateralis,Silvereye,uncertain,https://xeno-canto.org/925465/download,146,//creativecommons.org/licenses/by-nc-sa/4.0/,"Maud_Island,_Marlborough_District,_Marlborough",call,[],48000,no,,https://xeno-canto.org/925465/download,Xeno-Canto
404855,Zosterops,lateralis,Silvereye,male,https://xeno-canto.org/404855/download,10,//creativecommons.org/licenses/by-nc-sa/4.0/,"Karangarua,_Westland_District,_West_Coast",call,[],48000,no,,https://xeno-canto.org/404855/download,Xeno-Canto
378227,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/378227/download,32,//creativecommons.org/licenses/by-nc-sa/4.0/,"Fox_River,_Buller_District,_West_Coast",call,"['Turdus merula', 'Prosthemadera novaeseelandiae']",44100,yes,,https://xeno-canto.org/378227/download,Xeno-Canto
352942,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/352942/download,64,//creativecommons.org/licenses/by-nc-sa/4.0/,"Mount_Cargill,_Dunedin_City,_Otago",call,['Prosthemadera novaeseelandiae'],48000,yes,,https://xeno-canto.org/352942/download,Xeno-Canto
46593,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/46593/download,33,//creativecommons.org/licenses/by-nc-sa/3.0/,"Heywood_Terrace,_Christchurch,_South_Island",call,[],44100,unknown,,https://xeno-canto.org/46593/download,Xeno-Canto
46591,Zosterops,lateralis,Silvereye,,https://xeno-canto.org/46591/download,28,//creativecommons.org/licenses/by-nc-sa/3.0/,"Heywood_Terrace,_Christchurch,_South_Island",call,['Passer domesticus'],44100,unknown,,https://xeno-canto.org/46591/download,Xeno-Canto
842723,Anthornis,melanura,Bellbird,uncertain,https://xeno-canto.org/842723/download,66,//creativecommons.org/licenses/by-nc-sa/4.0/,"Pōhara,_Golden_Bay,_Tasman_District,_Tasman",alarm_call,[],44100,yes,,https://xeno-canto.org/842723/download,Xeno-Canto
431810,Anthornis,melanura,Bellbird,,https://xeno-canto.org/431810/download,21,//creativecommons.org/licenses/by-nc-sa/4.0/,Ulva_Island,alarm_call,[],44100,no,,https://xeno-canto.org/431810/download,Xeno-Canto
431809,Anthornis,melanura,Bellbird,,https://xeno-canto.org/431809/download,7,//creativecommons.org/licenses/by-nc-sa/4.0/,Ulva_Island,alarm_call,[],44100,no,,https://xeno-canto.org/431809/download,Xeno-Canto
214593,Petroica,longipes,Robin,,https://xeno-canto.org/214593/download,13,//creativecommons.org/licenses/by-nc-sa/4.0/,"Wellington,_Wellington_City,_Wellington",alarm_call,[],44100,yes,,https://xeno-canto.org/214593/download,Xeno-Canto
428584,Petroica,australis,Robin,,https://xeno-canto.org/428584/download,23,//creativecommons.org/licenses/by-nc-sa/4.0/,Ulva_Island,alarm_call,['Cyanoramphus novaezelandiae'],44100,yes,,https://xeno-canto.org/428584/download,Xeno-Canto
